# Printing path from GOAL to SOURCE
# Time elapsed by A* Algorithm 6.782010s 
# Time elapsed reading binary file 0.615873s
# Total time elapsed 8.249165s
# Iteration | Node Id | Distance | latitude | long
 103 | 1123226666 | 956780.60 | 37.407328 | -5.978746
 104 |  819727288 | 956769.01 | 37.407413 | -5.978670
 105 |  819727211 | 956754.48 | 37.407542 | -5.978693
 106 |  819727097 | 956731.77 | 37.407738 | -5.978622
 107 |  819727161 | 956702.26 | 37.407990 | -5.978518
 108 |  819727179 | 956671.88 | 37.408244 | -5.978394
 109 |  819727247 | 956645.81 | 37.408464 | -5.978290
 110 |  819727318 | 956618.76 | 37.408689 | -5.978177
 111 | 1123226632 | 956474.30 | 37.409938 | -5.977733
 112 |  811677633 | 956471.06 | 37.409946 | -5.977769
 113 |  819727089 | 956442.84 | 37.410189 | -5.977678
 114 |  405611450 | 956439.75 | 37.410215 | -5.977668
 115 |  422989221 | 956433.42 | 37.410268 | -5.977641
 116 |  422857162 | 956385.95 | 37.410664 | -5.977440
 117 |  811311071 | 956372.65 | 37.410772 | -5.977378
 118 |  422989217 | 956358.30 | 37.410890 | -5.977311
 119 | 1123226718 | 956195.93 | 37.412218 | -5.976551
 120 |  422857159 | 956193.38 | 37.412238 | -5.976539
 121 |  811369424 | 956102.18 | 37.412992 | -5.976133
 122 |  422989215 | 956054.44 | 37.413386 | -5.975921
 123 |  811311142 | 955988.57 | 37.413935 | -5.975643
 124 |  811311128 | 955965.68 | 37.414126 | -5.975547
 125 | 1279813846 | 955896.41 | 37.414703 | -5.975255
 126 | 1277624993 | 955893.57 | 37.414697 | -5.975224
 127 | 1279813848 | 955865.77 | 37.414926 | -5.975096
 128 | 1277624995 | 955863.14 | 37.414949 | -5.975090
 129 | 1277624997 | 955857.00 | 37.414976 | -5.975150
 130 |  811311127 | 955829.56 | 37.415208 | -5.975047
 131 | 1277625000 | 955813.21 | 37.415346 | -5.974982
 132 |  916992276 | 955794.85 | 37.415340 | -5.974775
 133 |  916992247 | 955769.89 | 37.415281 | -5.974502
 134 |  916992223 | 955750.43 | 37.415203 | -5.974306
 135 |  916992298 | 955730.67 | 37.415102 | -5.974122
 136 |  916992279 | 955711.22 | 37.414998 | -5.973945
 137 |  808006737 | 955673.31 | 37.415317 | -5.974096
 138 |  808006928 | 955661.32 | 37.415368 | -5.973977
 139 |  808006771 | 955655.45 | 37.415394 | -5.973919
 140 |  808006524 | 955647.51 | 37.415422 | -5.973836
 141 |  916992220 | 955632.73 | 37.415548 | -5.973783
 142 |  808006706 | 955616.37 | 37.415664 | -5.973670
 143 |  808006904 | 955597.26 | 37.415810 | -5.973557
 144 |  808006625 | 955588.21 | 37.415891 | -5.973562
 145 |  808006558 | 955549.77 | 37.416233 | -5.973625
 146 |  808006760 | 955540.14 | 37.416319 | -5.973641
 147 | 1349603008 | 955532.34 | 37.416303 | -5.973727
 148 | 1349602980 | 955527.91 | 37.416314 | -5.973775
 149 | 1349602961 | 955517.00 | 37.416382 | -5.973863
 150 | 1349603055 | 955503.52 | 37.416451 | -5.973990
 151 | 1349602993 | 955500.65 | 37.416474 | -5.973976
 152 | 1349603062 | 955492.58 | 37.416510 | -5.974055
 153 | 1349603013 | 955476.38 | 37.416573 | -5.974221
 154 |  715725744 | 955323.50 | 37.417838 | -5.973549
 155 |  424267024 | 955200.81 | 37.418853 | -5.973009
 156 |  493680502 | 955085.36 | 37.419813 | -5.972516
 157 |  493680975 | 954959.14 | 37.420863 | -5.971976
 158 |  424267031 | 954844.15 | 37.421820 | -5.971484
 159 |  493681049 | 954727.96 | 37.422786 | -5.970988
 160 |  493681618 | 954602.42 | 37.423830 | -5.970451
 161 |  715725807 | 954526.40 | 37.424096 | -5.971243
 162 |  715725841 | 954410.42 | 37.425061 | -5.970747
 163 |  715725840 | 954290.98 | 37.426054 | -5.970237
 164 |  715725844 | 954165.83 | 37.427095 | -5.969700
 165 |  715725846 | 954057.14 | 37.427999 | -5.969237
 166 |  787488687 | 954005.12 | 37.428434 | -5.969021
 167 |  787488682 | 953947.18 | 37.428918 | -5.968780
 168 |  715725848 | 953897.46 | 37.429088 | -5.969300
 169 |  715654837 | 953884.56 | 37.429086 | -5.969446
 170 |  715654839 | 953876.62 | 37.429141 | -5.969389
 171 |  715654840 | 953866.86 | 37.429224 | -5.969351
 172 |  715654844 | 953860.49 | 37.429279 | -5.969371
 173 |  715654845 | 953853.86 | 37.429329 | -5.969411
 174 |  715654825 | 953848.67 | 37.429363 | -5.969451
 175 |  715654847 | 953842.35 | 37.429382 | -5.969518
 176 |  715654823 | 953825.09 | 37.429506 | -5.969402
 177 |  424266994 | 953761.47 | 37.430017 | -5.969080
 178 |  715654923 | 953704.26 | 37.430450 | -5.968731
 179 |  424266995 | 953496.58 | 37.432023 | -5.967468
 180 |  424266996 | 953358.65 | 37.433159 | -5.966844
 181 |  476258811 | 953296.61 | 37.433693 | -5.966643
 182 |  248799004 | 953264.82 | 37.433951 | -5.966489
 183 |  248799021 | 953259.89 | 37.433995 | -5.966489
 184 |  248799020 | 953251.70 | 37.434064 | -5.966456
 185 |  248799019 | 953246.13 | 37.434104 | -5.966418
 186 |  476258763 | 953240.19 | 37.434131 | -5.966360
 187 |  248799018 | 953234.89 | 37.434142 | -5.966302
 188 |  315254719 | 953219.22 | 37.434250 | -5.966189
 189 |  315254691 | 953202.38 | 37.434400 | -5.966163
 190 |  315254692 | 953186.90 | 37.434536 | -5.966197
 191 |  248733747 | 953173.16 | 37.434659 | -5.966180
 192 |  315254628 | 953135.95 | 37.434972 | -5.966031
 193 |  248733746 | 953106.39 | 37.435220 | -5.965912
 194 |  248733744 | 952967.16 | 37.436392 | -5.965363
 195 |  248733743 | 952830.22 | 37.437537 | -5.964797
 196 |  248733742 | 952785.00 | 37.437912 | -5.964599
 197 |  248733741 | 952735.10 | 37.438307 | -5.964333
