# Printing path from GOAL to SOURCE
# Time elapsed by A* Algorithm 847.788223s 
# Time elapsed reading binary file 0.725454s
# Total time elapsed 849.393078s
# Iteration | Node Id | Distance | latitude | long
 106 | 1313457046 |   0.00 | 37.412297 | -6.036271
 107 |  913203974 |   0.00 | 37.412338 | -6.036288
 108 |  913206866 |   0.00 | 37.413991 | -6.037393
 109 |  913206867 |   0.00 | 37.416096 | -6.039357
 110 |  913210630 |   0.00 | 37.418064 | -6.041824
 111 |  913210632 |   0.00 | 37.418873 | -6.042758
 112 |  913212491 |   0.00 | 37.419163 | -6.043337
 113 |  913212493 |   0.00 | 37.419163 | -6.043487
 114 |  913212495 |   0.00 | 37.419163 | -6.043638
 115 | 1313456879 |   0.00 | 37.419510 | -6.044176
 116 | 1313456882 |   0.00 | 37.419646 | -6.044755
 117 | 1313456719 |   0.00 | 37.419391 | -6.046601
 118 | 1313456247 |   0.00 | 37.419323 | -6.047695
 119 | 1313456453 |   0.00 | 37.419408 | -6.048403
 120 | 1402292104 |   0.00 | 37.420017 | -6.049503
 121 |  900841474 |   0.00 | 37.420032 | -6.049671
 122 |  900841480 |   0.00 | 37.420312 | -6.050199
 123 |  900841487 |   0.00 | 37.420470 | -6.050209
 124 |  900841492 |   0.00 | 37.420717 | -6.050134
 125 |  904577065 |   0.00 | 37.421214 | -6.050060
 126 |  900841494 |   0.00 | 37.421365 | -6.050037
 127 |  900841496 |   0.00 | 37.421535 | -6.050113
 128 |  900841515 |   0.00 | 37.421782 | -6.050306
 129 |  900841519 |   0.00 | 37.421868 | -6.050713
 130 |  900841526 |   0.00 | 37.421892 | -6.051037
 131 |  900841534 |   0.00 | 37.422000 | -6.051260
 132 |  900841537 |   0.00 | 37.422209 | -6.051464
 133 |  900841541 |   0.00 | 37.422277 | -6.051861
 134 |  900841552 |   0.00 | 37.422159 | -6.052537
 135 |  904577369 |   0.00 | 37.422161 | -6.052767
 136 |  904577372 |   0.00 | 37.422616 | -6.053207
 137 |  904577374 |   0.00 | 37.422816 | -6.053431
 138 |  904577376 |   0.00 | 37.422790 | -6.053710
 139 |  904577378 |   0.00 | 37.422330 | -6.054664
 140 |  904577381 |   0.00 | 37.422305 | -6.055008
 141 |  904577383 |   0.00 | 37.422365 | -6.055340
 142 |  904577385 |   0.00 | 37.422884 | -6.056842
 143 |  904577388 |   0.00 | 37.423540 | -6.057626
 144 |  904577389 |   0.00 | 37.423643 | -6.058119
 145 |  904577393 |   0.00 | 37.423762 | -6.058816
 146 |  904577396 |   0.00 | 37.423907 | -6.058902
 147 |  904577398 |   0.00 | 37.424188 | -6.059106
 148 |  904577401 |   0.00 | 37.425636 | -6.062142
 149 |  904577402 |   0.00 | 37.425713 | -6.062571
 150 |  904577403 |   0.00 | 37.425909 | -6.063022
 151 |  904577404 |   0.00 | 37.426173 | -6.063312
 152 |  904577405 |   0.00 | 37.426454 | -6.063365
 153 |  904577407 |   0.00 | 37.427161 | -6.063365
 154 |  904577409 |   0.00 | 37.427366 | -6.063494
 155 |  904577412 |   0.00 | 37.427979 | -6.064535
 156 |  904577414 |   0.00 | 37.428073 | -6.064685
 157 |  886628701 |   0.00 | 37.428181 | -6.064733
 158 |  886628696 |   0.00 | 37.429067 | -6.064797
 159 |  249108577 |   0.00 | 37.429473 | -6.065459
 160 |  886628693 |   0.00 | 37.429698 | -6.065934
 161 |  886628692 |   0.00 | 37.429834 | -6.067393
 162 |  886628691 |   0.00 | 37.430089 | -6.068252
 163 |  886628689 |   0.00 | 37.429527 | -6.069926
 164 |  886628686 |   0.00 | 37.429936 | -6.070634
 165 |  886628680 |   0.00 | 37.429987 | -6.071449
 166 |  886628675 |   0.00 | 37.429749 | -6.072157
 167 |  886628667 |   0.00 | 37.430106 | -6.072844
 168 |  886628662 |   0.00 | 37.429766 | -6.077607
 169 |  886628659 |   0.00 | 37.428096 | -6.079646
 170 |  886627890 |   0.00 | 37.428109 | -6.079990
 171 |  886627893 |   0.00 | 37.428522 | -6.079860
 172 |  886627895 |   0.00 | 37.429033 | -6.080053
 173 |  886627898 |   0.00 | 37.429612 | -6.080204
 174 |  900984399 |   0.00 | 37.429997 | -6.080216
 175 |  886627900 |   0.00 | 37.432359 | -6.080425
 176 | 1315208041 |   0.00 | 37.432051 | -6.083250
 177 | 1315208051 |   0.00 | 37.432460 | -6.089409
 178 | 1315208065 |   0.00 | 37.430551 | -6.089387
 179 | 1315208019 |   0.00 | 37.428507 | -6.089108
 180 | 1402390075 |   0.00 | 37.428106 | -6.089176
 181 |  900985464 |   0.00 | 37.425522 | -6.090591
 182 |  886627605 |   0.00 | 37.424364 | -6.091619
 183 |  886627602 |   0.00 | 37.423887 | -6.091641
 184 |  932750400 |   0.00 | 37.423830 | -6.091753
 185 |  932751530 |   0.00 | 37.423748 | -6.091755
 186 |  932751531 |   0.00 | 37.421797 | -6.092753
 187 |  932751533 |   0.00 | 37.419803 | -6.093783
 188 |  932751535 |   0.00 | 37.418806 | -6.094041
 189 |  932751538 |   0.00 | 37.417937 | -6.094094
 190 |  932751540 |   0.00 | 37.415755 | -6.094781
 191 |  932751542 |   0.00 | 37.414716 | -6.095328
 192 |  900986707 |   0.00 | 37.414491 | -6.095765
 193 |  900986710 |   0.00 | 37.414343 | -6.095712
 194 |  900986713 |   0.00 | 37.414184 | -6.095725
 195 |  900986716 |   0.00 | 37.414008 | -6.095926
 196 |  937548103 |   0.00 | 37.414018 | -6.096133
 197 |  937548881 |   0.00 | 37.413863 | -6.095879
 198 |  244078205 |   0.00 | 37.417058 | -6.093153
 199 |  244078206 |   0.00 | 37.417760 | -6.092620
 200 |  244078207 |   0.00 | 37.418346 | -6.092260
 201 |  244078208 |   0.00 | 37.422307 | -6.090312
 202 |  244078209 |   0.00 | 37.423016 | -6.089951
 203 |  244078210 |   0.00 | 37.423663 | -6.089453
 204 |  244078211 |   0.00 | 37.424195 | -6.088878
 205 |  244078212 |   0.00 | 37.424740 | -6.088123
 206 |  244078213 |   0.00 | 37.425149 | -6.087393
 207 |  244078214 |   0.00 | 37.430118 | -6.077325
 208 |  244078215 |   0.00 | 37.430425 | -6.076501
 209 |  244078216 |   0.00 | 37.430595 | -6.075901
 210 |  244078217 |   0.00 | 37.430691 | -6.075274
 211 |  244078218 |   0.00 | 37.430738 | -6.074630
 212 |  244078219 |   0.00 | 37.430718 | -6.073952
 213 |  244078220 |   0.00 | 37.430554 | -6.072828
 214 |  244078221 |   0.00 | 37.430418 | -6.071909
 215 |  244078222 |   0.00 | 37.430377 | -6.071249
 216 |  244078223 |   0.00 | 37.430391 | -6.070682
 217 |  244078224 |   0.00 | 37.430445 | -6.070150
 218 |  244078225 |   0.00 | 37.430698 | -6.068888
 219 |  244078226 |   0.00 | 37.430779 | -6.068244
 220 |  244078227 |   0.00 | 37.430800 | -6.067627
 221 |  244078228 |   0.00 | 37.430738 | -6.066983
 222 |  244078229 |   0.00 | 37.430595 | -6.066339
 223 |  244078230 |   0.00 | 37.430418 | -6.065798
 224 |  244078231 |   0.00 | 37.430036 | -6.064983
 225 |  244078232 |   0.00 | 37.427910 | -6.060666
 226 |  244078233 |   0.00 | 37.427460 | -6.059627
 227 |  244078234 |   0.00 | 37.427106 | -6.058580
 228 |  244078235 |   0.00 | 37.426874 | -6.057782
 229 | 1407424706 |   0.00 | 37.426305 | -6.055376
 230 |  244078236 |   0.00 | 37.426138 | -6.054666
 231 |  244078237 |   0.00 | 37.425817 | -6.053344
 232 |  244078238 |   0.00 | 37.425497 | -6.052340
 233 |  244078239 |   0.00 | 37.425129 | -6.051344
 234 |  244078240 |   0.00 | 37.424768 | -6.050572
 235 |  244078241 |   0.00 | 37.424168 | -6.049533
 236 |  244078243 |   0.00 | 37.423513 | -6.048632
 237 |  244078244 |   0.00 | 37.420180 | -6.044435
 238 |  244078245 |   0.00 | 37.419287 | -6.043225
 239 |  244078246 |   0.00 | 37.418565 | -6.042023
 240 |  244078247 |   0.00 | 37.417958 | -6.040762
 241 |  244078248 |   0.00 | 37.417563 | -6.039826
 242 |  244078249 |   0.00 | 37.417167 | -6.038633
 243 |  244078250 |   0.00 | 37.416901 | -6.037706
 244 |  244078251 |   0.00 | 37.416704 | -6.036779
 245 |  244078252 |   0.00 | 37.416519 | -6.035723
 246 |  244078253 |   0.00 | 37.416404 | -6.034762
 247 |  244078254 |   0.00 | 37.416335 | -6.033964
 248 |  244078255 |   0.00 | 37.416288 | -6.032462
 249 |  244078256 |   0.00 | 37.416370 | -6.030791
 250 |  244078257 |   0.00 | 37.416479 | -6.029264
 251 |  244078258 |   0.00 | 37.416676 | -6.027595
 252 |  244078259 |   0.00 | 37.417031 | -6.025737
 253 |  244078260 |   0.00 | 37.417358 | -6.024308
 254 |  244078261 |   0.00 | 37.417862 | -6.022445
 255 |  244078262 |   0.00 | 37.418490 | -6.020428
 256 |  244078263 |   0.00 | 37.419103 | -6.018634
 257 |  917022476 |   0.00 | 37.421935 | -6.011285
 258 |  917022534 |   0.00 | 37.423464 | -6.007318
 259 |  244097048 |   0.00 | 37.425846 | -6.001135
 260 |  244097047 |   0.00 | 37.426180 | -6.000294
 261 |  244078264 |   0.00 | 37.431297 | -5.987074
 262 |  244078265 |   0.00 | 37.432974 | -5.983358
 263 |  244078266 |   0.00 | 37.433839 | -5.981409
 264 |  244078267 |   0.00 | 37.434514 | -5.979702
 265 |  244078268 |   0.00 | 37.434957 | -5.978474
 266 |  244078269 |   0.00 | 37.435721 | -5.976474
 267 |  244078270 |   0.00 | 37.436702 | -5.974457
 268 |  244078271 |   0.00 | 37.437588 | -5.973153
 269 |  715654976 |   0.00 | 37.437978 | -5.972640
 270 |  244078272 |   0.00 | 37.438474 | -5.972045
 271 |  244078273 |   0.00 | 37.439435 | -5.971083
 272 |  244072361 |   0.00 | 37.440457 | -5.970234
 273 |  244073129 |   0.00 | 37.443374 | -5.968286
 274 |  244072855 |   0.00 | 37.444062 | -5.967823
 275 |  244072854 |   0.00 | 37.444457 | -5.967462
 276 |  244072853 |   0.00 | 37.444805 | -5.967016
 277 |  244072852 |   0.00 | 37.445084 | -5.966612
 278 |  244072851 |   0.00 | 37.445282 | -5.966235
 279 |  244072850 |   0.00 | 37.445493 | -5.965780
 280 |  244072849 |   0.00 | 37.445786 | -5.965248
 281 |  244072847 |   0.00 | 37.446501 | -5.964389
 282 |  244072846 |   0.00 | 37.447415 | -5.963488
 283 |  244072845 |   0.00 | 37.447994 | -5.962982
 284 |  244072844 |   0.00 | 37.448614 | -5.962510
 285 |  244072843 |   0.00 | 37.449193 | -5.962132
 286 |  244072842 |   0.00 | 37.450583 | -5.961420
 287 |  244072841 |   0.00 | 37.451605 | -5.961059
 288 |  244072650 |   0.00 | 37.452028 | -5.960905
 289 |  243997911 |   0.00 | 37.452904 | -5.960719
 290 |  243997912 |   0.00 | 37.453463 | -5.960590
 291 |  243997966 |   0.00 | 37.454001 | -5.960436
 292 |  243997965 |   0.00 | 37.454887 | -5.960118
 293 |  243997964 |   0.00 | 37.455432 | -5.959861
 294 |  243997963 |   0.00 | 37.456931 | -5.959062
 295 |  243997962 |   0.00 | 37.467075 | -5.952204
 296 |  243997961 |   0.00 | 37.468982 | -5.950831
 297 |  243997953 |   0.00 | 37.470427 | -5.949578
 298 |  243997861 |   0.00 | 37.471898 | -5.948231
 299 |  243997860 |   0.00 | 37.473076 | -5.947046
 300 |  243997859 |   0.00 | 37.474793 | -5.945227
 301 |  248803484 |   0.00 | 37.546297 | -5.866253
 302 |  243997858 |   0.00 | 37.559870 | -5.851104
 303 |  243997857 |   0.00 | 37.561401 | -5.849027
 304 |  243997856 |   0.00 | 37.562728 | -5.846950
 305 |  243997855 |   0.00 | 37.563905 | -5.844993
 306 |  243997854 |   0.00 | 37.565803 | -5.841088
 307 |  243997853 |   0.00 | 37.566878 | -5.838427
 308 |  243997852 |   0.00 | 37.567490 | -5.836762
 309 |  243997851 |   0.00 | 37.568089 | -5.834822
 310 |  243997850 |   0.00 | 37.568722 | -5.832496
 311 |  243997849 |   0.00 | 37.569198 | -5.830325
 312 |  243997719 |   0.00 | 37.586762 | -5.741233
 313 |  243997718 |   0.00 | 37.587231 | -5.738332
 314 |  243997717 |   0.00 | 37.587557 | -5.735868
 315 |  243997716 |   0.00 | 37.587768 | -5.733568
 316 |  243997715 |   0.00 | 37.587897 | -5.730907
 317 |  243997714 |   0.00 | 37.587911 | -5.728186
 318 |  243997713 |   0.00 | 37.587795 | -5.725474
 319 |  243997712 |   0.00 | 37.587544 | -5.722625
 320 |  243997711 |   0.00 | 37.586734 | -5.715028
 321 |  243997710 |   0.00 | 37.586455 | -5.712059
 322 |  243997655 |   0.00 | 37.586299 | -5.709038
 323 |  243997654 |   0.00 | 37.586171 | -5.701554
